scientificname,sources,n_rows,status,taxonomy_provenance,pre_resolved_kingdom,resolved_kingdom,pre_resolved_phylum,resolved_phylum,pre_resolved_class,resolved_class,pre_resolved_order,resolved_order,pre_resolved_family,resolved_family,pre_resolved_genus,resolved_genus,source_taxonomy_kingdom,source_taxonomy_phylum,source_taxonomy_class,source_taxonomy_order,source_taxonomy_family,source_taxonomy_genus
Margaritifera margaritifera,wqbench,25,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Mollusca,NA,Bivalvia,NA,Unionoida,NA,Margaritiferidae,NA,Margaritifera,Animalia,Mollusca,Bivalvia,Unionoida,Margaritiferidae,Margaritifera
Navicula incerta,"anztox,envirotox,wqbench",22,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Pennales,NA,Naviculaceae,NA,Navicula,Chromista,Bacillariophyta,Bacillariophyceae,Pennales,Naviculaceae,Navicula
Navicula seminulum,"anztox,envirotox,wqbench",22,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Pennales,NA,Naviculaceae,NA,Navicula,Chromista,Bacillariophyta,Bacillariophyceae,Pennales,Naviculaceae,Navicula
Fragilaria capucina,wqbench,21,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Fragilariophyceae,NA,Fragilariales,NA,Fragilariaceae,NA,Fragilaria,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Fragilaria
Amphora coffeaeformis,"anztox,wqbench",16,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Thalassiophysales,NA,Catenulaceae,NA,Amphora,Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Aphanius fasciatus,wqbench,16,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Cyprinodontiformes,NA,Cyprinodontidae,NA,Aphanius,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius
Coscinodiscus centralis,wqbench,15,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Coscinodiscophyceae,NA,Coscinodiscales,NA,Coscinodiscaceae,NA,Coscinodiscus,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus
Scorpaenichthys marmoratus,"envirotox,wqbench",15,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Scorpaeniformes,NA,Cottidae,NA,Scorpaenichthys,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys
Nostoc kihlmani,wqbench,14,ambiguous_after_filter,ambiguous_partial,NA,Monera,NA,Cyanophycota,NA,Cyanophyceae,NA,Nostocales,NA,Nostocaceae,NA,Nostoc,Monera,Cyanophycota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc
Cerastoderma glaucum,wqbench,13,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Mollusca,NA,Bivalvia,NA,Veneroida,NA,Cardiidae,NA,Cerastoderma,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Cerastoderma
Unio crassus,wqbench,13,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Mollusca,NA,Bivalvia,NA,Unionoida,NA,Unionidae,NA,Unio,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Unio
Gomphonema clavatum,"envirotox,wqbench",12,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Cymbellales,NA,Gomphonemataceae,NA,Gomphonema,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema
Madracis mirabilis,wqbench,12,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Cnidaria,NA,Anthozoa,NA,Scleractinia,NA,Pocilloporidae,NA,Madracis,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Madracis
Eudorina elegans,wqbench,11,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,Volvocales,NA,Volvocaceae,NA,Eudorina,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,Eudorina
Synedra acus,"envirotox,wqbench",11,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Fragilariophyceae,NA,Fragilariales,NA,Fragilariaceae,NA,Synedra,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra
Chrysophrys auratus,wqbench,10,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Sparidae,NA,Chrysophrys,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Chrysophrys
Elimia virginica,wqbench,10,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Mollusca,NA,Gastropoda,NA,Neotaenioglossa,NA,Pleuroceridae,NA,Elimia,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Pleuroceridae,Elimia
Nostoc calcicola,wqbench,9,ambiguous_after_filter,ambiguous_partial,NA,Monera,NA,Cyanophycota,NA,Cyanophyceae,NA,Nostocales,NA,Nostocaceae,NA,Nostoc,Monera,Cyanophycota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc
Brachionus quadridentatus,wqbench,8,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,Animalia,Rotifera,Monogononta,Ploima,Brachionidae,Brachionus
Cocconeis placentula,wqbench,8,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Achnanthales,NA,Cocconeidaceae,NA,Cocconeis,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cosmarium crenulatum,wqbench,8,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Charophyta,NA,Conjugatophyceae,NA,Desmidiales,NA,Desmidiaceae,NA,Cosmarium,Plantae,Charophyta,Conjugatophyceae,Desmidiales,Desmidiaceae,Cosmarium
Stauroneis amphoroides,"anztox,envirotox,wqbench",8,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Naviculales,NA,Stauroneidaceae,NA,Stauroneis,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Synedra radians,wqbench,8,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Fragilariophyceae,NA,Fragilariales,NA,Fragilariaceae,NA,Synedra,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra
Achnanthes brevipes,"anztox,wqbench",6,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Achnanthales,NA,Achnanthaceae,NA,Achnanthes,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lanceolata,wqbench,6,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Achnanthales,NA,Achnanthaceae,NA,Achnanthes,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Chlamydomonas acidophila,"envirotox,wqbench",6,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,Volvocales,NA,Chlamydomonadaceae,NA,Chlamydomonas,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Hyale longicornis,wqbench,6,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Malacostraca,NA,Amphipoda,NA,Hyalidae,NA,Hyale,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalidae,Hyale
Melosira granulata,wqbench,6,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Centrales,NA,Melosiraceae,NA,Melosira,Chromista,Bacillariophyta,Bacillariophyceae,Centrales,Melosiraceae,Melosira
Navicula cryptocephala,wqbench,6,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Pennales,NA,Naviculaceae,NA,Navicula,Chromista,Bacillariophyta,Bacillariophyceae,Pennales,Naviculaceae,Navicula
Nitzschia fonticola,wqbench,6,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Pennales,NA,Bacillariaceae,NA,Nitzschia,Chromista,Bacillariophyta,Bacillariophyceae,Pennales,Bacillariaceae,Nitzschia
Synedra ulna,wqbench,6,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Fragilariophyceae,NA,Fragilariales,NA,Fragilariaceae,NA,Synedra,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra
Anabaena spiroides,"envirotox,wqbench",4,ambiguous_after_filter,ambiguous_partial,NA,Monera,NA,Cyanophycota,NA,Cyanophyceae,NA,Nostocales,NA,Nostocaceae,NA,Anabaena,Monera,Cyanophycota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Caligus elongatus,wqbench,4,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Maxillopoda,NA,Siphonostomatoida,NA,Caligidae,NA,Caligus,Animalia,Arthropoda,Maxillopoda,Siphonostomatoida,Caligidae,Caligus
Cephalobus persegnis,wqbench,4,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Nematoda,NA,Secernentea,NA,Rhabditida,NA,Cephalobidae,NA,Cephalobus,Animalia,Nematoda,Secernentea,Rhabditida,Cephalobidae,Cephalobus
Ichthyobodo necator,wqbench,4,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Sarcomastigophora,NA,Zoomastigophora,NA,Kinetoplastida,NA,NA,NA,Ichthyobodo,Animalia,Sarcomastigophora,Zoomastigophora,Kinetoplastida,NA,Ichthyobodo
Trochus maculatus,wqbench,4,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Mollusca,NA,Gastropoda,NA,Archaeogastropoda,NA,Trochidae,NA,Trochus,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,Trochus
Vibrio fischeri,anztox,4,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Chlorophyta,NA,Not stated,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Not stated,NA,NA,NA
Anonyx nugax,wqbench,3,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Malacostraca,NA,Amphipoda,NA,Lysianassidae,NA,Anonyx,Animalia,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Anonyx
Barbus sp,"anztox,envirotox",3,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Cypriniformes,NA,Cyprinidae,NA,NA,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA
Chlorella salina,wqbench,3,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,Chlorococcales,NA,Oocystaceae,NA,Chlorella,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Chlorella
Cryptomonas ozolini,"anztox,envirotox,wqbench",3,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Cryptophycophyta,NA,Cryptophyceae,NA,Cryptomonadales,NA,Cryptomonadaceae,NA,Cryptomonas,Plantae,Cryptophycophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Navicula salinarum,"envirotox,wqbench",3,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Pennales,NA,Naviculaceae,NA,Navicula,Chromista,Bacillariophyta,Bacillariophyceae,Pennales,Naviculaceae,Navicula
Phagocata gracilis,wqbench,3,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Platyhelminthes,NA,Turbellaria,NA,Tricladida,NA,Planariidae,NA,Phagocata,Animalia,Platyhelminthes,Turbellaria,Tricladida,Planariidae,Phagocata
Scenedesmus bicaudatus,wqbench,3,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,Chlorococcales,NA,Scenedesmaceae,NA,Scenedesmus,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Scenedesmus
Surirella angusta,wqbench,3,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Surirellales,NA,Surirellaceae,NA,Surirella,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Amphipleura pellucida,wqbench,2,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Naviculales,NA,Amphipleuraceae,NA,Amphipleura,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Anisakis simplex,wqbench,2,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Nematoda,NA,Secernentea,NA,Ascaridida,NA,Anisakidae,NA,Anisakis,Animalia,Nematoda,Secernentea,Ascaridida,Anisakidae,Anisakis
Corophium spinicorne,wqbench,2,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Malacostraca,NA,Amphipoda,NA,Corophiidae,NA,Corophium,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium
Crangon sp,anztox,2,ambiguous_after_filter,ambiguous_partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craterocephalus stercusmuscar,envirotox,2,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Atheriniformes,NA,Atherinidae,NA,NA,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,NA
Cymbella affinis,wqbench,2,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Cymbellales,NA,Cymbellaceae,NA,Cymbella,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Ensis minor,"envirotox,wqbench",2,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Mollusca,NA,Bivalvia,NA,Veneroida,NA,Pharidae,NA,Ensis,Animalia,Mollusca,Bivalvia,Veneroida,Pharidae,Ensis
Navicula minima,"anztox,wqbench",2,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Pennales,NA,Naviculaceae,NA,Navicula,Chromista,Bacillariophyta,Bacillariophyceae,Pennales,Naviculaceae,Navicula
Pagrus auratus,"anztox,envirotox",2,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Sparidae,NA,NA,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,NA
Palaemon paucidens,"envirotox,wqbench",2,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Malacostraca,NA,Decapoda,NA,Palaemonidae,NA,Palaemon,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon
Palaemon sp,anztox,2,ambiguous_after_filter,ambiguous_partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paracalliope fluviatilis,wqbench,2,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Malacostraca,NA,Amphipoda,NA,Eusiridae,NA,Paracalliope,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Paracalliope
Patella aspera,wqbench,2,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Mollusca,NA,Gastropoda,NA,Archaeogastropoda,NA,Patellidae,NA,Patella,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Patellidae,Patella
Stylonychia mytilus,wqbench,2,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Ciliophora,NA,Ciliatea,NA,Hypotrichida,NA,Oxytrichidae,NA,Stylonychia,Animalia,Ciliophora,Ciliatea,Hypotrichida,Oxytrichidae,Stylonychia
Asplanchna sieboldi,wqbench,1,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Rotifera,NA,Monogononta,NA,Ploima,NA,Asplanchnidae,NA,Asplanchna,Animalia,Rotifera,Monogononta,Ploima,Asplanchnidae,Asplanchna
Bourletiella spinata,wqbench,1,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Entognatha,NA,Collembola,NA,Bourletiellidae,NA,Bourletiella,Animalia,Arthropoda,Entognatha,Collembola,Bourletiellidae,Bourletiella
Chaetoceros didymus,wqbench,1,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Centrales,NA,Chaetocerotaceae,NA,Chaetoceros,Chromista,Bacillariophyta,Bacillariophyceae,Centrales,Chaetocerotaceae,Chaetoceros
Cymbella aspera,wqbench,1,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Cymbellales,NA,Cymbellaceae,NA,Cymbella,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Epithemia cistula,wqbench,1,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Rhopalodiales,NA,Rhopalodiaceae,NA,Epithemia,Chromista,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia
Fragilaria capucina var. mesolepta,wqbench,1,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Fragilariophyceae,NA,Fragilariales,NA,Fragilariaceae,NA,Fragilaria,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Fragilaria
Gyrosigma spencerii,anztox,1,ambiguous_after_filter,ambiguous_partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Podura aquatica,wqbench,1,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Entognatha,NA,Collembola,NA,Poduridae,NA,Podura,Animalia,Arthropoda,Entognatha,Collembola,Poduridae,Podura
Robertgurneya hopkinsi,wqbench,1,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Maxillopoda,NA,Harpacticoida,NA,Diosaccidae,NA,Robertgurneya,Animalia,Arthropoda,Maxillopoda,Harpacticoida,Diosaccidae,Robertgurneya
Surirella tenera,wqbench,1,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Surirellales,NA,Surirellaceae,NA,Surirella,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Chlorella fusca var vacuolata,envirotox,123,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,Chlorococcales,NA,Oocystaceae,NA,NA,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,NA
Morone saxatilis x chrysops,wqbench,123,unresolved,source_native_fallback,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Moronidae,NA,Morone,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Morone
Symbiodinium sp.,wqbench,90,unresolved,source_native_fallback,NA,Chromista,NA,Pyrrophycophyta,NA,Dinophyceae,NA,Suessiales,NA,Symbiodiniaceae,NA,Symbiodinium,Chromista,Pyrrophycophyta,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium
tribe Chironomini,wqbench,88,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Diptera,NA,Chironomidae,NA,Tribe chironomini,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tribe chironomini
Diatoma sp.,wqbench,42,unresolved,source_native_fallback,NA,Chromista,NA,Bacillariophyta,NA,Fragilariophyceae,NA,Fragilariales,NA,Fragilariaceae,NA,Diatoma,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Diatoma
Ephemerella sp.,wqbench,35,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Ephemeroptera,NA,Ephemerellidae,NA,Ephemerella,Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella
Crithidia fasciculata,wqbench,32,unresolved,source_native_fallback,NA,Animalia,NA,Sarcomastigophora,NA,Zoomastigophora,NA,Kinetoplastida,NA,Trypanosomatidae,NA,Crithidia,Animalia,Sarcomastigophora,Zoomastigophora,Kinetoplastida,Trypanosomatidae,Crithidia
Enallagma sp.,wqbench,29,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Odonata,NA,Coenagrionidae,NA,Enallagma,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma
Paratelphusa jacquemontii,"envirotox,wqbench",29,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Malacostraca,NA,Decapoda,NA,Parathelphusidae,NA,Paratelphusa,Animalia,Arthropoda,Malacostraca,Decapoda,Parathelphusidae,Paratelphusa
Stenonema sp.,wqbench,25,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Ephemeroptera,NA,Heptageniidae,NA,Stenonema,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenonema
Chlorella fusca ssp. fusca,wqbench,22,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,Chlorococcales,NA,Oocystaceae,NA,Chlorella,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Chlorella
Paratelphusa masoniana,"envirotox,wqbench",13,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Malacostraca,NA,Decapoda,NA,Parathelphusidae,NA,Paratelphusa,Animalia,Arthropoda,Malacostraca,Decapoda,Parathelphusidae,Paratelphusa
Egeria sp.,wqbench,12,unresolved,source_native_fallback,NA,Plantae,NA,Magnoliophyta,NA,Liliopsida,NA,Hydrocharitales,NA,Hydrocharitaceae,NA,Egeria,Plantae,Magnoliophyta,Liliopsida,Hydrocharitales,Hydrocharitaceae,Egeria
