Chemical,Species,Conc,Reference,Timeframe
Chloride,Villosa delumbis Freshwater mussel,716,3,chronic
Chloride,Villosa constricta Freshwater mussel,789,3,chronic
Chloride,Lumbriculus variegates Oligochaete,825,3,chronic
Chloride,Brachionus calyciflorus,1241,3,chronic
Chloride,Lampsilis siliquoidea Freshwater mussel,1474,3,chronic
Chloride,Gammarus pseudopinmaeus Amphipod,2000,3,chronic
Chloride,Physa sp. Snail,2000,3,chronic
Chloride,Stenonema modestum Mayfly,2047,3,chronic
Chloride,Chironomus tentans Midge,2316,3,chronic
Chloride,Lemna minor Duckweed,1171,3,chronic
Chloride,Chlorella minutissimo Algae,6066,3,chronic
Chloride,Chlorella zofingiensis Algae,6066,3,chronic
Chloride,Chlorella emersonii Algae,6824,3,chronic
Endosulfan,Oncorhynchus mykiss,0.05,4,chronic
Endosulfan,Channa punctata,0.24,4,chronic
Endosulfan,Pimephales promelas,0.28,4,chronic
Endosulfan,Hydra vulgaris,0.06,4,chronic
Endosulfan,Hydra viridissima,0.07,4,chronic
Endosulfan,Daphnia magna,14.1,4,chronic
Endosulfan,Ceriodaphnia dubia,14.1,4,chronic
Endosulfan,Moinodaphnia macleayi,28.3,4,chronic
Endosulfan,Daphnia cephalata,113.14,4,chronic
Endosulfan,Brachionus calyciflorus,1000,4,chronic
Endosulfan,Pseudokirchneriell a subcapitatum,427.8,4,chronic
Endosulfan,Scenedesmus subspicatus,560,4,chronic
Glyphosate,O. kisutch,130000,5,chronic
Glyphosate,O. mykiss,150000,5,chronic
Glyphosate,P. promelas,25700,5,chronic
Glyphosate,C. dubia,65000,5,chronic
Glyphosate,D. magna,10487,5,chronic
Glyphosate,H. azteca,20500,5,chronic
Glyphosate,P. columella,3162,5,chronic
Glyphosate,A. flosaquae,12000,5,chronic
Glyphosate,C. pyrenoidosa,3530,5,chronic
Glyphosate,C. vulgaris,4696,5,chronic
Glyphosate,L. gibba,1587,5,chronic
Glyphosate,M. sibiricum,1474,5,chronic
Glyphosate,N. pelliculosa,1800,5,chronic
Glyphosate,P. pectinatus,3162,5,chronic
Glyphosate,P. subcapitata,10000,5,chronic
Glyphosate,S. acutus,2820,5,chronic
Glyphosate,S. obliquus,55858,5,chronic
Glyphosate,S. quadricauda,1090,5,chronic
Uranium,O. mykiss,350,6,chronic
Uranium,P. promelas,1040,6,chronic
Uranium,E. luius,2550,6,chronic
Uranium,S. namaycush,13400,6,chronic
Uranium,C. commersoni,14300,6,chronic
Uranium,H. azteca,12,6,chronic
Uranium,C. dubia,73,6,chronic
Uranium,S. serrulatus,480,6,chronic
Uranium,D. magna,530,6,chronic
Uranium,C. tentans,930,6,chronic
Uranium,P.subcapitata,40,6,chronic
Uranium,L. minor,3100,6,chronic
Uranium,C. erosa,172,6,chronic
Silver,O. mykiss,0.24,7,chronic
Silver,L. gibba,0.63,7,chronic
Silver,C. dubia,0.78,7,chronic
Silver,P. promelas,0.83,7,chronic
Silver,I. punctatus,1.9,7,chronic
Silver,D. magna,2.12,7,chronic
Silver,H. azteca,4,7,chronic
Silver,C. tentans,13,7,chronic
Silver,M. salmoides,23,7,chronic
,,,,chronic
