casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
95144244,1-Ethenyl-3-methyl-1H-Imidazolium chloride (1:1) polymer with 1-ethenyl-2-pyrrolidinone,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
96300957,Triphenyl phosphate-isodecyl diphenyl phosphate mixt.,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
96300979,Triphenyl phosphate-2-isopropylphenyl diphenyl phosphate mixt.,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
99300784,Venlafaxine hydrochloride;1-[2-(Dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol--hydrogen chloride (1/1),,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
103065209,"(2beta,3alpha,5alpha,6alpha)-25-Methylergostane-2,3,6-triol tris(hydrogen sulfate)",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
112025602,"Chelerythrine chloride mixture with sanguinarine chloride;1,2-Dimethoxy-12-methyl-9H-[1,3]benzodioxolo[5,6-c]phenanthridin-12-ium 13-methyl-2H,10H-[1,3]benzodioxolo[5,6-c][1,3]dioxolo[4,5-i]phenanthridin-13-ium chloride (1/1/2)",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
112143825,"Triazamate;Ethyl {[3-tert-butyl-1-(dimethylcarbamoyl)-1H-1,2,4-triazol-5-yl]sulfanyl}acetate",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
114247062,(+)-(S)-Fluoxetine hydrochloride;(3S)-N-Methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine--hydrogen chloride (1/1),,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
114247095,(-)-(R)-Fluoxetine hydrochloride;(3R)-N-Methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine--hydrogen chloride (1/1),,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
114569845,3-Dodecyl-1-methyl-1H-imidazolium chloride (1:1),,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
117337196,"Fluthiacet-methyl;Methyl ({2-chloro-4-fluoro-5-[(Z)-(3-oxotetrahydro-1H,3H-[1,3,4]thiadiazolo[3,4-a]pyridazin-1-ylidene)amino]phenyl}sulfanyl)acetate",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
120067836,"Fipronil sulfide;5-Amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)sulfanyl]-1H-pyrazole-3-carbonitrile",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
129630199,Pyraflufen-ethyl;Ethyl {2-chloro-5-[4-chloro-5-(difluoromethoxy)-1-methyl-1H-pyrazol-3-yl]-4-fluorophenoxy}acetate,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
138003562,"alpha-[2-(Trimethylammonio)ethyl]-omega-hydroxypoly[oxy(methyl-1,2-ethanediyl)], Chloride (1:1)",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
138698369,Decyl isononyl dimethyl ammonium chloride,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
138982679,"Ziprasidone hydrochloride [USAN:USP];5-{2-[4-(1,2-Benzothiazol-3-yl)piperazin-1-yl]ethyl}-6-chloro-1,3-dihydro-2H-indol-2-one--hydrogen chloride--water (1/1/1)",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
141517217,Trifloxystrobin;Methyl (methoxyimino)(2-{[({1-[3-(trifluoromethyl)phenyl]ethylidene}amino)oxy]methyl}phenyl)acetate,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
143390890,Kresoxim-methyl;Methyl (2E)-(methoxyimino){2-[(2-methylphenoxy)methyl]phenyl}acetate,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
145607530,Metalaxyl-cuprous oxide mixt.,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
148788550,"Didecyl dimethyl ammonium carbonate;Bis(N-decyl-N,N-dimethyldecan-1-aminium) carbonate",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
158898954,Palladium chloride (PdCl),,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
188489078,Flufenpyr-ethyl;Ethyl {2-chloro-4-fluoro-5-[5-methyl-6-oxo-4-(trifluoromethyl)pyridazin-1(6H)-yl]phenoxy}acetate,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
188589324,3-Decyl-1-methyl-1H-imidazolium bromide (1:1),,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
203313251,"Spirotetramat;(5s,8s)-3-(2,5-Dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro[4.5]dec-3-en-4-yl ethyl carbonate",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
220355668,"(3aS,4R,10aS)-2,6-Diamino-4-[[(aminocarbonyl)oxy]methyl]-3a,4,8,9-tetrahydro-1H,10H-pyrrolo[1,2-c]purine-10,10-diol acetate (1:2)",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
375815875,"Varenicline tartrate;(2R,3R)-2,3-Dihydroxybutanedioic acid--7,8,9,10-tetrahydro-6H-6,10-methanoazepino[4,5-g]quinoxaline (1/1)",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
850804443,"2-[4,5-Dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl]-5-(methoxymethyl)-3-pyridinecarboxylic acid mixt. with 3-(1-methylethyl)-1H-2,1,3-benzothiadiazin-4(3H)-one 2,2-dioxide",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
